SZ?,SUBURB/TOWN,ROAD/S,Cameras,Lat(1),Long(1),Lat(2),Long(2)
Y,Ashfield,"Hume Highway, between Murrell Street and Queen Street (school zone)",1,-33.89017676,151.1279851,,
N,Auburn,"Parramatta Road, between Harbord Street and Duck Street",1,-33.83596257,151.0236212,,
Y,Bankstown,"Hume Highway, between Rookwood Road and Stacey Street (school zone)",2,-33.90591876,151.0385979,-33.90618282,151.0389152
N,Bar Point,"M1, between Jolls Bridge and Mt White Exit Ramp",1,-33.48820797,151.1838675,,
N,Ben Lomond,"New England Highway, between Ross Road and Ben Lomond Road",1,-30.00608908,151.7150055,,
N,Berkshire Park,"Richmond Road, between Llandilo Road and Sanctuary Drive",1,-33.66132172,150.7972901,,
Y,Beverly Hills,"King Georges Road, between Stoney Creek Road and Edgbaston Road (school zone)",2,-33.95055554,151.0816667,-33.95055553,151.0819444
N,Bexley North,"Bexley Road, between Kingsland Road North and Miller Avenue",1,-33.9424273,151.1187736,,
N,Blandford,"New England Highway, between Hayles Street and Mills Street",1,-31.78359945,150.8955526,,
N,Bomaderry,"Bolong Road, between Beinda Street and Coomea Street",1,-34.85783897,150.6054788,,
Y,Bonnyrigg,"Cabramatta Road, between Katinka Street and Tarlington Parade (school zone)",1,-33.893729,150.894911,,
N,Bonnyrigg,"Elizabeth Drive, between Brown Road and Humphries Road",1,-33.89797227,150.8944633,,
N,Brogo,"Princes Highway, between Pioneer Close and Brogo River",1,-36.519191,149.829115,,
N,Bulli,"Princes Highway, between Grevillea Park Road and Black Diamond Place",1,-34.33154593,150.9137692,,
N,Burringbar,"Tweed Valley Way, between Blakeneys Road and Cooradilla Road",1,-28.401083,153.438162,,
N,Burwood Heights,"Hume Highway, between Kelso Street and Appian Way",1,-33.88782464,151.1047184,,
N,Camellia,"James Ruse Drive, between Victoria Road and Grand Avenue North",1,-33.81538472,151.022514,,
N,Canterbury,"Canterbury Road, between Gould Street and Jeffrey Street",1,-33.913881,151.114813,,
N,Caringbah,"Captain Cook Drive, between Cawarra Road and Gannons Road",1,-34.03560285,151.1313471,,
N,Carlingford,"Pennant Hills Road, between Evans Road and Coleman Avenue",1,-33.78267107,151.0491467,,
Y,Castle Hill,"Old Northern Road, between Telfer Road and Brisbane Road (school zone)",1,-33.73182386,151.0133555,,
N,Charmhaven,"Pacific Highway, between Wallarah Creek and Lowana Avenue",1,-33.22036966,151.5060441,,
N,Concord West,"Concord Road, between Nirranda Street and Mepunga Street",1,-33.84951967,151.0899929,,
Y,Condell Park,"Edgar Street, between Augusta Street and Upper Railway Parade (school zone)",1,-33.92514833,151.0127285,,
Y,Eastgardens / Maroubra,"Bunnerong Road, between Fitzgerald Avenue and Smith Street",2,-33.94709338,151.2288756,-33.94698527,151.2290104
N,Edgecliff,"New South Head Road, between Waratah Street and New Beach Road",1,-33.8764195,151.2303775,,
N,Ewingsdale,"Pacific Highway, between St Helena Road and Ewingsdale Road.",1,-28.64748547,153.5485293,,
N,Fairfield East,"Fairfield Street, between Scott Street and Mandarin Street",1,-33.869726,150.979134,,
Y,Gateshead,"Pacific Highway, between Sydney Street and Macquarie Avenue (school zone)",1,-32.98367474,151.6921763,,
N,Greystanes,"Greystanes Road, between Merrylands Road and Old Prospect Road",1,-33.82320759,150.9326137,,
Y,Guildford,"Woodville Road, between Kenelda Avenue and Osgood Street (school zone)",2,-33.84888891,150.9969444,-33.84898622,150.9971901
N,Gwynneville ,"M1 Princes Motorway (Northbound), between Northern Distrbutor Overpass and Gipps Road Overpass",1,-34.41477048,150.8813173,,
N,Gwynneville ,"M1 Princes Motorway (Southbound), between University Avenue Overpass and Mount Ousley Road",1,-34.40624849,150.8838636,,
N,Hartley,"Great Western Highway, between Mid Hartley Road and Blackmans Creek Road",1,-33.5438964,150.170696,,
N,Hungry Head,"Pacific Highway, between Boundary Road and Ballards Road",1,-30.55487088,153.0063098,,
Y,Hurstville,"Forest Road, between Lily Street and Cronulla Street (school zone)",1,-33.964232,151.111588,,
Y,Kingswood,"Parker Street, between Copeland Street and Gascoigne Street (school zone)",2,-33.75328526,150.7128596,-33.75285392,150.7131341
Y,Kogarah,"Princes Highway, between Gray Street and President Avenue (school zone)",2,-33.96785364,151.1363472,-33.96706137,151.1367476
N,Korora,"Pacific Highway, between Bruxner Park Road and Korora Basin Road",1,-30.25640684,153.1293456,,
N,Kurrajong,"Bells Line of Road, between Queen Street and Bellbird Avenue",1,-33.53374295,150.6326618,,
N,Lane Cove,"Centennial Avenue, between Gentle Street and Figtree Street",1,-33.81286842,151.15824,,
N,Lansvale,"Hume Highway, between Henry Lawson Drive and Knight Street",1,-33.89143275,150.9655959,,
