Suburb,Street
"Aarons Pass, Apple Tree Flat, Cudgegong, Ilford",Castlereagh Highway
"Abbotsbury, Bossley Park, Edensor Park",Cowpasture Road
Aberdare,Melbourne Street
"Aberdare, Cessnock",Aberdare Road
"Aberdare, Cessnock, Neath","Cessnock Road, Maitland Road"
"Aberdeen, Muswellbrook","Macqueen Street, New England Highway"
"Aberdeen, Scone, Segenhoe","Kelly Street, New England Highway"
"Aberglasslyn, Rutherford",Denton Park Drive
"Abington, Bundarra, Yarrowyck","Bendemeer Street, Thunderbolts Way"
"Adaminaby, Dry Plain, Rhine Falls",Snowy Mountains Highway
"Adaminaby, Kosciuszko National Park, Providence Portal",Snowy Mountains Highway
"Adamstown Heights, Merewether",Pacific Highway
"Adamstown, Hamilton South",Glebe Road
"Adelong, Gadara",Snowy Mountains Highway
"Agnes Banks, Richmond, Yarramundi","Castlereagh Road, Springwood Road"
"Albion Park Rail, Croom",Princes Highway
"Albion Park, Albion Park Rail, Macquarie Pass, North Macquarie, Tongarra, Tullimbar","Illawarra Highway, Tongarra Road"
"Albion Park, Croom","Jamberoo Road, Terry Street"
"Albury, East Albury","Borella Road, Riverina Highway"
"Aldavilla, Yarravel",Sherwood Road
Alectown,"Goobang Street, Newell Highway"
"Alexandria, Beaconsfield, Chippendale, Haymarket, Redfern, Rosebery, Waterloo, Zetland","Botany Road, Gibbons Street, Lee Street, Regent Street, Wyndham Street"
"Alexandria, Eastlakes, Mascot, Rosebery",Gardeners Road
"Alexandria, Erskineville, Newtown, St Peters","King Street, Princes Highway"
"Alexandria, Mascot, St Peters","Canal Road, Gardeners Road, Kent Road, Ricketty Street"
"Alfredtown, East Wagga Wagga, Forest Hill, Gumly Gumly","Hammond Avenue, Sturt Highway"
"Alison, Dungog, Stroud Hill, Tabbil Creek","Clarence Town Road, Dowling Street, Mary Street, Stroud Hill Road"
"Allambie Heights, Balgowlah, Brookvale, Manly Vale, North Balgowlah, North Manly","Burnt Bridge Creek Deviation, Condamine Street"
"Allandale, Greta, Harpers Hill, Lochinvar",New England Highway
"Alleena, Ariah Park, Beckom, Mirrool",Newell Highway
"Alleena, West Wyalong",Newell Highway
"Allworth, Booral, Craven, Forbesdale, Gloucester, Limeburners Creek, Stratford, Stroud, Stroud Road, Wards River, Weismantels","Berkeley Street, Church Street, Cowper Street, The Bucketts Way"
"Alstonville, Tuckombil, Wollongbar","Rifle Range Road, Teven Road, Tuckombil Road"
"Alstonville, Uralba, Wollongbar","Ballina Road, Bruxner Highway, Bugden Avenue, Lismore Road, Main Street"
"Alumy Creek, Grafton, Great Marlow, Ilarwill, Lawrence, Lower Southgate, Maclean, South Arm, Southgate, Woodford Island","Woodford Street, Lawrence Road, Merton Street, Rutland Street, Richmond Street, Bridge Street, Ensbey Road, Queen Street"
"Ambarvale, Bradbury, Campbelltown, Rosemeadow, St Helens Park",Appin Road
"Amosfield, Bookookoorara, Boonoo Boonoo, Carrolls Creek, Tenterfield, Willsons Downfall","Mount Lindesay Road, Logan Street"
"Amosfield, Cullendore, Koreelah, Legume, Liston, Lower Acacia Creek, Woodenbong, Wylie Creek","Mount Lindesay Road, Acacia Avenue, Liston Road"
"Anna Bay, Salamander Bay, Taylors Beach",Port Stephens Drive
"Annangrove, Rouse Hill",Annangrove Road
"Appin, Cataract","Appin Road, Church Street"
"Appin, Wilton","Appin Road, Wilton Road"
"Apsley, Bakers Swamp, Cundumbul, Larras Lee, Molong, Neurea","Market Street, Mitchell Highway"
"Apsley, Clergate, Dripstone, Euchareena, Farnham, Kerrs Creek, March, Mullion Creek, Mumbil, Orange, Stuart Town","Alexander Street, Burrandong Street, Burrendong Way"
"Apsley, Wellington","Arthur Street, Curtis Street, Maughan Street, Mitchell Highway"
"Ardlethan, Barellan, Kamarah, Moombooldool","Burley Griffin Way, Train Street, Yapunyah Street"
"Argenton, Glendale",Lake Road
"Armatree, Coonamble, Curban, Gilgandra, Gulargambone","Aberford Street, Castlereagh Highway, Castlereagh Street, Coonamble Street, Lower Miller Street, Miller Street"
Armidale,"Uralla Road, Kentucky Street, Dangar Street, Barney Street, Grafton Road"
"Armidale, Black Mountain, Tilbuster",New England Highway
"Armidale, Hillgrove, Metz",Waterfall Way
"Armidale, Invergowrie, Saumarez Ponds, Yarrowyck",Bundarra Road
"Armidale, Saumarez",New England Highway
Arncliffe,"Forest Road, Wickham Street"
"Arncliffe, Tempe, Wolli Creek",Princes Highway
"Arndell Park, Bungarribee, Doonside","Doonside Road, Eastern Road, Knox Road"
"Arndell Park, Bungarribee, Eastern Creek, Huntingwood",Great Western Highway
"Arrawarra Headland, Sandy Beach, Woolgoolga","Pacific Highway, Solitary Islands Way"
"Artarmon, Chatswood, Lane Cove North, Willoughby","Centennial Avenue, Mowbray Road"
"Ashfield, Dulwich Hill, Lewisham, Summer Hill","Barker Street, Brown Street, Cook Street, Old Canterbury Road"
"Ashford, Bukkulla, Inverell, Nullamanna, Wandera","Ashford Road, Byron Street"
"Ashmont, Glenfield Park, Mount Austin",Fernleigh Road
"Ashtonfield, East Maitland","New England Highway, Newcastle Street"
"Ashtonfield, Thornton",New England Highway
"Attunga, Klori, Moore Creek",Manilla Road
Auburn,Cumberland Road
Auburn,Park Road
Auburn,Rawson Street
"Auburn, Berala, Chester Hill, Regents Park, Sefton","Carlingford Street, Park Road, Waldron Road"
"Auburn, Guildford, Lidcombe, South Granville","Clyde Street, Park Road, Rawson Road, Vaughan Street, Wellington Road"
"Austinmer, Coledale, Wombarra",Lawrence Hargrave Drive
"Austinmer, Thirroul",Lawrence Hargrave Drive
"Austral Eden, Belmore River, Gladstone, Kinchela","Barnard Street, South West Rocks Road"
"Austral Eden, Hampden Hall, Pola Creek",South West Rocks Road
"Austral, Kemps Creek, Middleton Grange, Rossmore, West Hoxton",Fifteenth Avenue
"Avalon Beach, Palm Beach",Barrenjoey Road
"Avisford, Caerleon, Collingwood, Erudgere, Grattai",Hill End Road
"Avoca Beach, Copacabana, Kincumber, Picketts Valley","Avoca Drive, Cape Three Points Road"
"Avoca, Burrawang, Moss Vale",Illawarra Highway
"Avonside, Berridale",Kosciuszko Road
"Awaba, Ryhope",Cessnock Road
"Baan Baa, Boggabri","Bibil Street, Kamilaroi Highway"
"Baan Baa, Narrabri, Turrawan",Kamilaroi Highway
"Back Forest, Bolong, Bomaderry",Bolong Road
"Back Forest, Coolangatta",Bolong Road
"Bagnoo, Doyles River, Ellenborough, Hartys Plains, Hyndmans Creek, Long Flat, Mount Seaview, Walcha, Yarras, Yarrowitch","Fitzroy Street, Oxley Highway"
"Bakers Creek, Belbora, Burrell Creek, Gangat, Gloucester, Krambach, Kundibakh, Tugrabakh","Denison Street, The Bucketts Way"
"Balaclava, Braemar, Mittagong, Willow Vale","Main Street, Old Hume Highway"
"Bald Hills, Millingandi, Pambula","Princes Highway, Quondola Street"
"Bald Nob, Cangai, Eatonsville, Gibraltar Range, Glen Elgin, Glen Innes, Jackadgery, Moogem, Ramornie, Shannon Vale, South Grafton, Waterview, Waterview Heights","Gwydir Highway, Meade Street, Ryan Street"
Balgowlah,Sydney Road
"Balgowlah, Fairlight, Manly","Commonwealth Parade, Lauderdale Avenue, The Crescent"
"Balgowlah, Fairlight, Manly",Sydney Road
"Balickera, Eagleton, Ferodale, Karuah, Twelve Mile Creek",Pacific Highway
"Balladoran, Brocklehurst, Eumungerie, Gilgandra, Terramungamine",Newell Highway
"Ballimore, Dubbo, Dunedoo, Elong Elong, Gollan","Bolaro Street, Dunedoo Road, Golden Highway"
"Ballina, Cumbalum, Tintenbar","Pacific Highway, Roseville Lane, Tamarind Drive"
"Ballina, West Ballina","Kerr Street, River Street, Tamarind Drive"
"Bangalee, North Nowra, Tapitallee",Illaroo Road
"Bangalow, Ewingsdale, McLeods Shoot, Newrybar, Tyagarah",Pacific Highway
Bangor,Menai Road
"Bangor, Menai, Sutherland, Woronora","Bangor Bypass, Linden Street, River Road"
"Banksmeadow, Botany",Foreshore Road
"Banksmeadow, Botany, Eastgardens, Pagewood","Heffron Road, Page Street, Stephen Road"
Bankstown,Macauley Avenue
"Bankstown Aerodrome, Georges Hall",Henry Lawson Drive
"Bankstown, Condell Park, Yagoona",Edgar Street
"Bannister, Crookwell, Goulburn, Kingsdale, Pejar, Wayo","Crookwell Road, Goulburn Road, Goulburn Street"
Banora Point,Darlington Drive
"Banora Point, Terranora",Terranora Road
"Banora Point, Tweed Heads South",Fraser Drive
"Banyabba, Camira, Casino, Coombell, Ellangowan, Leeville, Myrtle Creek, Rappville, Shannon Brook, Whiporie","Centre Street, Summerland Way"
"Banyabba, Clifden, Dilkoon, Gurranang, Mountain View, Warragai Creek",Summerland Way
"Bar Beach, Merewether","Frederick Street, Helen Street, Memorial Drive, Scenic Drive"
"Bar Point, Calga, Cheero Point, Mooney Mooney, Mount White",Pacific Highway
"Baradine, Bugaldie, Coonabarabran, Coonamble, Nebea, Pine Grove, Teridgerie","Aberford Street, Baradine Road, Dubbo Street, Narren Street, White Street, Worrigal Street"
"Barcoongere, Bookram, Pillar Valley, Wooli","Wooli Road, North Street, Main Street"
"Bardia, Denham Court, Glenfield, Ingleburn, Macquarie Links, Varroville",M31 Hume Motorway
"Barellan, Bilbul, Binya, Yenda, Yoogali","Burley Griffin Way, Francis Street, Mirrool Avenue, Yapunyah Street"
Bargo,"Railside Avenue, Remembrance Driveway"
"Bargo, Picton, Tahmoor",Remembrance Driveway
"Barmedman, Gidginbung, Reefton, Temora","Goldfields Way, Temora Street"
"Barmedman, Wyalong","Camp Street, Goldfields Way, Queen Street"
Barrack Heights,Captain Cook Drive
"Barrack Heights, Blackbutt, Flinders, Shellharbour, Shellharbour City Centre",Wattle Road
"Barrack Heights, Dunmore, Flinders, Shell Cove, Shellharbour",Shellharbour Road
"Barrack Heights, Lake Illawarra, Warilla",Shellharbour Road
"Barrack Heights, Mount Warrigal, Oak Flats, Shellharbour City Centre","Lake Entrance Road, New Lake Entrance Road"
"Barraganyatti, Clybucca, Eungai Rail","Macleay Valley Way, Pacific Highway"
"Barrengarry, Fitzroy Falls","Moss Vale Road, Nowra Road"
"Barrengarry, Kangaroo Valley",Moss Vale Road
"Basin View, Bewong, Tullarwalla, Wandandian",Princes Highway
"Basin View, Falls Creek, Tomerong",Princes Highway
"Bass Hill, Lansdowne, Villawood",Hume Highway
"Bateau Bay, Berkeley Vale, Glenning Valley, Killarney Vale, Long Jetty, Tumbi Umbi",Wyong Road
"Batehaven, Catalina",Beach Road
"Batemans Bay, Catalina",Beach Road
"Batemans Bay, Mogo","Princes Highway, Vesper Street"
"Bathampton, Blayney, Evans Plains, Fitzgeralds Mount, Kings Plains","Adelaide Street, Mid Western Highway"
"Bathurst, Dunkeld, Evans Plains, Mitchell, Robin Hill, Stewarts Mount, West Bathurst, Windradyne","Brilliant Street, Mitchell Highway, Vittoria Street"
