SZ?,SUBURB/TOWN,ROAD/S,Cameras,Lat(1),Long(1),Lat(2),Long(2),Lat(3),Long(3),
N,Kotara / Adamstown,Park Avenue and Northcott Drive,1,-32.940335,151.712118,,,,,
Y,Albury,Borella Road and Young Street (school zone),1,-36.07518,146.92525,,,,,
N,Beaconsfield / Alexandria,Collins Street and O'Riordan Street,1,-33.911362,151.197403,,,,,
N,Alexandria / Waterloo,McEvoy Street and Botany Road,2,-33.90148333,151.20085,-33.901451,151.201546,,,
N,Ashfield,Hume Highway and Fredrick Street,1,-33.888045,151.117876,,,,,
N,Auburn,Chisholm Road and Mona Street,1,-33.848376,151.021343,,,,,
N,Auburn ,Rawson Street and Station Road,1,-33.850038,151.03496,,,,,
N,Silverwater / Auburn ,Silverwater Road and M4 Westbound On Ramp,2,-33.842082,151.044495,-33.843557,151.043127,,,
N,Auburn ,Rawson Street and Northumberland Road,1,-33.849101,151.033268,,,,,
N,Banksmeadow,Foreshore Road and Botany Road,1,-33.961967,151.21485,,,,,
N,Condell Park,Edgar Street and Marion Street,1,-33.915916,151.014023,,,,,
Y,Bankstown,Meredith Street and Hume Highway (school zone),1,-33.907435,151.03327,,,,,
N,Bankstown,Stacey Street and Hume Highway,1,-33.906498,151.039902,,,,,
N,Bathurst,Durham Street and Bentinck Street,1,-33.4177,149.58507,,,,,
N,Bathurst,Stewart Street/Great Western Highway and Keppel Street,1,-33.41518,149.57299,,,,,
N,Baulkham Hills,Windsor Road and Seven Hills Road,2,-33.76151667,150.9926167,-33.76228333,150.9930833,,,
N,Belfield,Burwood Road and Punchbowl Road,1,-33.902363,151.083603,,,,,
N,Bexley,Forest Road and Harrow Road ,1,-33.948321,151.12775,,,,,
N,Bexley,Harrow Road and Watkin Street,1,-33.952566,151.131741,,,,,
N,Blacktown,Bungarribee Road and Balmoral Street / Reservoir Road,1,-33.776519,150.901258,,,,,
N,Blacktown,Great Western Highway and Reservoir Road,1,-33.798404,150.897611,,,,,
Y,Blacktown,Kildare Street and Lancaster Street (school zone),1,-33.768824,150.892578,,,,,
Y,Blacktown,Newton Road and Flushcombe Road (school zone),1,-33.773527,150.908426,,,,,
N,Blacktown,Third Avenue and Richmond Road,1,-33.766371,150.905782,,,,,
N,Blacktown,Sunnyholt Road and Newton Road,1,-33.771465,150.911757,,,,,
N,Blacktown ,Third Avenue and Prince Street,1,-33.765399,150.910773,,,,,
N,Prospect,Prospect Highway and Blacktown Road,1,-33.79265,150.91914,,,,,
N,Blakehurst,King Georges Road and Terry Street,1,-33.983135,151.109302,,,,,
N,Bondi Junction,Old South Head Road and Bondi Road,1,-33.890842,151.253824,,,,,
N,Campbelltown,Moore-Oxley Bypass / Appin Road and The Parkway,1,-34.074459,150.808577,,,,,
N,Burwood,Railway Parade and Burwood Road,1,-33.877479,151.103949,,,,,
N,Burwood,Parramatta Road and Burwood Road,2,-33.86903333,151.1055833,-33.86876667,151.1052,,,
N,Cabramatta West,Cumberland Highway and Cabramatta Road West,2,-33.898886,150.919473,-33.899725,150.918936,,,
N,Canley Heights / Cabramatta,Cumberland Highway and St Johns Road,1,-33.888111,150.923039,,,,,
N,Campbelltown,Kellicar Road and New Narellan Road,2,-34.072236,150.805293,-34.072035,150.80594,,,
N,Campbelltown,Moore-Oxley Bypass and Broughton Street,2,-34.06664,150.819252,-34.066599,150.819836,,,
N,Campsie,Canterbury Road and Bexley Road,1,-33.918154,151.104657,,,,,
N,Campsie,Canterbury Road and Thorncraft Parade,1,-33.920186,151.099487,,,,,
Y,Canley Heights,Cumberland Highway and Canley Vale Road (school zone),1,-33.883836,150.923628,,,,,
N,Canley Vale,Canley Vale Road and Sackville Street,1,-33.885554,150.93686,,,,,
N,Caringbah,The Kingsway and Gannons Road,1,-34.045942,151.133228,,,,,
N,Castle Hill ,Pennant St and Castle Street,1,-33.731368,151.003974,,,,,
N,Castle Hill,Showground Road and Victoria Avenue,1,-33.724767,150.977632,,,,,
N,Chester Hill,Waldron Road and Hector Street,2,-33.883675,151.00649,-33.883855,151.007272,,,
N,Ultimo,Abercrombie Street and Broadway,1,-33.884408,151.198648,,,,,
N,Chullora,Rookwood Road and Muir Road,1,-33.891965,151.038551,,,,,
N,Werrington,Great Western Highway and Werrington Road,1,-33.76819,150.75789,,,,,
N,Concord,Broughton Street and Crane Street,1,-33.861433,151.10623,,,,,
N,Crows Nest,Pacific Highway and Hume Street,1,-34.37354,150.90063,,,,,
N,Towradgi,Memorial Drive and Towradgi Road ,1,-33.826305,151.19927,,,,,
N,Croydon Park,Georges River Road and Croydon Avenue,1,-33.894633,151.11099,,,,,
N,Rushcutters Bay,Craigend Street and McLachlan Avenue,1,-33.876918,151.228798,,,,,
N,Darlinghurst,Oxford Street and Crown Street,2,-33.879455,151.215372,-33.879094,151.215134,,,
N,Woolloomooloo,William Street and Crown Street,1,-33.874377,151.216514,,,,,
N,Oakhurst ,Richmond Road and M7 Southbound On Ramp ,1,-33.733478,150.849438,,,,,
N,Dee Why,Pittwater Road and Harbord Road,1,-33.758421,151.280916,,,,,
N,Drummoyne,Victoria Road and Lyons Road,1,-33.851198,151.154595,,,,,
N,Eastern Creek,Great Western Highway and Rooty Hill Road South,1,-33.788493,150.853669,,,,,
N,Eastwood,Blaxland Road and May Street,1,-33.788626,151.085751,,,,,
Y,Eastwood,Rutledge Street and Shaftsbury Road (school zone),1,-33.793398,151.078279,,,,,
N,Epping,Carlingford Road and Rawson Street,1,-33.77115,151.080575,,,,,
N,Ermington / Rydalmere,Victoria Road and Spurway Street,1,-33.814233,151.055999,,,,,
N,Fairfield Heights,Hamilton Road and The Boulevarde ,1,-33.872385,150.9372,,,,,
N,Fairfield,Sackville Street and Hamilton Road,1,-33.872813,150.945605,,,,,
N,Fairfield,The Horsley Drive and Polding Street,1,-33.864415,150.954514,,,,,
N,Figtree,Princes Highway and O'Briens Rd,1,-34.438881,150.857774,,,,,
N,Five Dock,Ramsay Road and Fairlight Street,1,-33.870113,151.130631,,,,,
N,Five Dock,Parramatta Road and Arlington Street,1,-33.872838,151.125958,,,,,
N,Parklea / Glenwood,Old Windsor Road and Sunnyholt Road,1,-33.721085,150.937967,,,,,
N,Granville,Parramatta Road and Good Street,1,-33.830543,151.012097,,,,,
N,Granville,Woodville Road and M4 On Ramp,1,-33.82788,151.00461,,,,,
N,Greenacre,Roberts Road and Juno Parade,1,-33.908191,151.06418,,,,,
N,Greenacre,Waterloo Road and Rawson Street,1,-33.90279,151.05792,,,,,
N,St Johns Park ,Smithfield Road and Transitway/Myrtle Road and Canley Vale Road,1,-33.87268,150.90003,,,,,
N,Merrylands West ,Cumberland Highway and Merrylands Road,1,-33.830034,150.960491,,,,,
N,Guildford,Woodville Road and Guildford Road,1,-33.855902,150.994868,,,,,
N,Haberfield,Dobroyd Pde and Timbrell Drive / Mortley Avenue,1,-33.870756,151.142217,,,,,
N,Haberfield,Parramatta Road and Sloane Street,1,-33.887387,151.141724,,,,,
N,Haberfield,Ramsay Street and Wattle Street,1,-33.87485,151.134598,,,,,
N,Hamilton,Tudor Street and Beaumont Street,1,-32.924204,151.74726,,,,,
N,Hamilton East,Pacific Highway and Parry Street,1,-32.926876,151.757796,,,,,
N,Haymarket,George Street and Pitt Street,2,-33.882861,151.203981,-33.882643,151.204378,,,
N,Homebush West,Homebush Bay Drive and M4 Eastbound On Ramp,1,-33.855944,151.071924,,,,,
N,Gladesville /Hunters Hill,Ryde Road and Pittwater Road,1,-33.824305,151.132611,,,,,
N,Kensington,Anzac Parade and Todman Avenue,1,-33.909919,151.223291,,,,,
N,Earlwood / Kingsgrove,Bexley Road and William Street,1,-33.928021,151.108939,,,,,
N,Belmore / Kingsgrove,Kingsgrove Road and Forsyth Street,1,-33.92945,151.098558,,,,,
N,Hurstville,Stoney Creek Road and Patrick Street,1,-33.951196,151.09138,,,,,
N,Kirrawee,President Avenue and Acacia Road,1,-34.034763,151.066413,,,,,
